,showing_time
14:f6:5a:f8:06:f0,22
7c:fa:df:c1:a5:59,7
34:80:b3:a7:27:09,20
f0:27:65:44:05:57,55
7c:1d:d9:d5:aa:c3,29
d0:7a:b5:ea:c7:78,66
f4:09:d8:84:f9:09,4
7c:1d:d9:5f:bb:7a,25
38:bc:1a:66:ce:53,8
f4:09:d8:1d:2d:24,1
38:bc:1a:42:3e:83,52
10:1c:0c:eb:e6:d8,43
98:ff:d0:28:7c:bb,13
b0:9f:ba:5e:50:0e,1
38:bc:1a:20:5d:17,24
10:41:7f:5d:5d:19,16
a0:93:47:37:6b:3e,16
ac:f7:f3:e6:2a:0e,6
8c:be:be:67:e3:57,21
d0:23:db:94:79:b9,75
a0:93:47:37:10:78,92
d0:25:98:dd:9c:6b,3
f0:f6:1c:00:a0:09,4
a0:93:47:34:a9:30,53
7c:1d:d9:a0:8c:47,47
b4:f0:ab:96:c6:5a,11
38:48:4c:29:43:75,3
8c:be:be:5f:bd:e6,6
10:d3:8a:4e:f5:15,12
d0:7a:b5:96:05:6d,8
8c:be:be:65:59:94,2
62:e0:84:b4:c1:91,1
14:5a:05:77:72:9f,10
34:23:ba:a3:41:95,2
d4:97:0b:aa:1c:c2,18
34:23:ba:b3:a9:19,17
14:b9:68:94:a0:55,2
f0:25:b7:a4:d1:ca,77
14:f6:5a:8d:fa:81,13
8c:34:fd:6e:d5:6a,36
a0:86:c6:7d:a7:3f,4
14:f6:5a:a0:57:5f,2
2c:be:08:21:62:c3,26
b4:30:52:a7:0b:0a,1
64:09:80:d6:7a:ee,20
d6:41:b6:ce:60:01,1
d6:77:db:ec:04:bd,1
14:f6:5a:af:1d:88,27
8c:0e:e3:9b:b6:03,2
68:96:7b:ad:7f:e0,9
64:09:80:e7:d7:ea,4
2c:8a:72:3b:f4:b5,2
14:f6:5a:c0:9f:66,2
f0:24:75:89:f5:8e,21
14:f6:5a:ce:46:13,14
d8:1d:72:6c:36:95,9
8c:29:37:50:04:2b,1
30:9b:ad:73:67:27,96
9c:fc:01:a4:d5:71,2
8c:34:fd:7f:0f:b8,3
14:99:e2:2e:d6:cb,11
d4:0b:1a:66:84:35,88
34:23:ba:5c:18:2f,8
7e:11:f6:17:a1:ad,1
34:12:98:e0:0c:fb,5
34:0a:ff:21:e6:c8,1
32:dc:c7:01:55:9e,1
30:9b:ad:78:70:bd,25
62:fd:58:e0:fb:b1,1
f0:27:65:22:3b:cf,9
62:e8:53:84:35:07,1
64:09:80:d5:f3:b9,1
30:9b:ad:d7:f2:c9,3
f0:25:b7:a8:0b:ab,30
80:41:4e:6f:15:4c,8
a0:86:c6:94:8a:dd,17
14:b4:84:e5:a6:ff,86
aa:f3:e2:21:e8:24,1
a8:9f:ba:32:c5:35,2
a8:88:08:ee:d5:9f,3
a8:8e:24:41:8d:c2,2
ac:38:70:b3:84:5b,1
a8:bb:cf:5e:44:47,9
ac:38:70:79:ee:9a,9
ac:36:13:b6:b1:e2,12
a8:8e:24:5b:9c:4a,15
ac:36:13:a0:f8:c4,5
a8:a6:68:f5:37:d5,1
ac:cf:5c:7a:ed:81,1
ac:38:70:4e:0a:fb,51
aa:2a:bc:20:83:a4,1
ac:29:3a:c6:d4:fc,47
ac:38:70:88:08:a0,6
a8:fa:d8:9f:dc:f9,1
a8:8e:24:12:26:1c,17
a8:9f:ba:4d:fe:6f,10
00:03:e7:a6:b2:c2,13
a8:86:dd:81:51:7f,50
9a:7c:5b:34:1e:f0,1
9a:8d:0a:4d:7c:ce,1
9a:b4:63:c3:42:3f,1
9a:cb:d6:b8:3e:74,1
9a:d5:b3:55:b4:f0,1
9a:fc:20:3c:24:b5,1
9c:20:7b:0c:44:74,16
9c:20:7b:14:20:35,8
9c:20:7b:2f:e5:c6,5
9c:99:a0:0c:7f:f7,10
9c:99:a0:2b:1a:e0,1
9c:99:a0:49:72:19,25
9c:99:a0:87:74:f9,4
9c:99:a0:a1:0f:83,2
9c:99:a0:a3:21:66,60
9c:99:a0:a3:55:29,2
9c:99:a0:a9:6d:02,1
9c:fc:01:2e:c5:e5,1
9c:fc:01:0b:f3:90,1
9c:c1:72:e8:62:01,53
9c:c1:72:c5:34:12,1
9c:c1:72:c4:9c:46,21
9c:c1:72:bd:ca:34,4
9a:66:a9:97:a1:ea,1
9c:c1:72:a8:4d:a8,1
9c:c1:72:5a:c4:29,1
9c:c1:72:3c:05:21,16
9c:99:a0:fb:37:9c,6
9c:99:a0:e4:d0:c3,1
9c:99:a0:e1:d0:6b,37
9c:99:a0:b8:45:fd,1
